Name,H,S,V,blank,CDOM,comparison,Date,blank,b1/v,b5/v,b1/s,b5/s,b5/(b2*s),B5/(B1*s),b5/(b2*v),b5/(b1*v),b5/b2,b5/b1,b5/(b2*b1),(b5*s)/(b2*v),(b5*s)/(b1*v),(b5*v)/(b2*s),(b5*v)/(b1*s),B5/(V*S),B1/(V*S),H,s,v,s*v,s/v,B1,B2,B3,b4,b5,B6,B7,b3/b1,b2/b1,b3/b2,b4/b1,b4/b2,b4/b3,,B1.Over.B1,B2.Over.B1,B3.Over.B1,B4.Over.B1,B5.Over.B1,B6.Over.B1,B7.Over.B1,B1MinusB1,B2MinusB1,B3MinusB2,B4MinusB3,B5MinusB4,B6MinusB5,B7MinusB6
Lac Matis,0,0,0,,1.23,0,6.p19r25d235y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1.03,0.0198,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,49.04,52.15,74.53,48.78,50.72,13.13,5.54,1.52,1.06,1.43,0.99,0.94,0.65,,1,1.06,1.52,0.99,1.03,0.27,0.11,0,3.11,22.38,-25.75,1.94,-37.59,-7.6
Lac Matis,0,0,0,,1.23,0,7.p18r25d260y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.63,0.0094,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,49.26,67.43,62.1,32.08,31.1,11.87,6.27,1.26,1.37,0.92,0.65,0.48,0.52,,1,1.37,1.26,0.65,0.63,0.24,0.13,0,18.17,-5.33,-30.02,-0.98,-19.23,-5.6
Lac Matis,0,0,0,,1.23,0,8.p18r25d295y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.4,0.0058,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,54.22,68.34,46.27,28.78,21.46,5.2,0.78,0.85,1.26,0.68,0.53,0.42,0.62,,1,1.26,0.85,0.53,0.4,0.1,0.01,0,14.12,-22.07,-17.49,-7.31,-16.27,-4.42
Lac Mamthet,0,0,0,,1.5,0,11.p19r25d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.43,0.0029,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,147.06,151.5,150.61,111.01,63.89,13.8,5.74,1.02,1.03,0.99,0.75,0.73,0.74,,1,1.03,1.02,0.75,0.43,0.09,0.04,0,4.43,-0.88,-39.6,-47.12,-50.09,-8.06
Lac Mamthet,162.7474905,30.38098949,1.113784,,1.5,1.113784,3.p19r25d267y2013,,82.96,40.82,3.04,1.5,0.01472,0.016,0.402,0.442,0.45,0.49,0.0048,12.2,13.42,0.016,0.018,1.34,2.73,162.75,30.38,1.11,33.84,27.28,92.4,101.65,111.38,77.54,45.47,10.98,6.06,1.21,1.1,1.1,0.84,0.76,0.7,,1,1.1,1.21,0.84,0.49,0.12,0.07,0,9.25,9.73,-33.84,-32.07,-34.49,-4.92
Lac Mamthet,0,0,0,,1.5,0,6.p19r25d235y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.49,0.0055,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,76.86,90.17,106.01,69.72,37.91,8.2,3.22,1.38,1.17,1.18,0.91,0.77,0.66,,1,1.17,1.38,0.91,0.49,0.11,0.04,0,13.32,15.84,-36.29,-31.81,-29.71,-4.98
Lac du Noeud Lousse L070,0,0,0,,1.61,0,12.p19r26d283y2013,,NA,NA,NA,NA,NA,NA,NA,NA,1.37,1.51,0.015,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,90.88,100.32,106.75,95.9,137.05,86.23,60.14,1.17,1.1,1.06,1.06,0.96,0.9,,1,1.1,1.17,1.06,1.51,0.95,0.66,0,9.44,6.42,-10.85,41.15,-50.83,-26.08
Lac du Noeud Lousse L070,154.4162499,16.32822325,0.6521622,,1.61,0.6521622,2.p19r26d267y2013,,89.07,103.44,3.56,4.13,0.06809,0.071,1.705,1.781,1.11,1.16,0.0191,27.84,29.08,0.044,0.046,6.34,5.46,154.42,16.33,0.65,10.65,25.04,58.09,60.68,65.22,54.57,67.46,30.14,21.46,1.12,1.04,1.07,0.94,0.9,0.84,,1,1.04,1.12,0.94,1.16,0.52,0.37,0,2.59,4.54,-10.65,12.89,-37.32,-8.68
Lac du Noeud Lousse L070,0,0,0,,1.61,0,5.p19r26d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.96,0.009,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,105.27,106.42,102.85,79.55,100.59,33.18,17.1,0.98,1.01,0.97,0.76,0.75,0.77,,1,1.01,0.98,0.76,0.96,0.32,0.16,0,1.15,-3.58,-23.3,21.05,-67.41,-16.08
Lac Dasserat,25.01427756,38.62784028,1.777647059,,1.61,1.777647059,1.p18r26d260y2013,,61.38,21.54,2.82,0.99,0.0072,0.009,0.156,0.197,0.28,0.35,0.0025,6.04,7.63,0.013,0.016,0.56,1.59,25.01,38.63,1.78,68.67,21.73,109.1,137.73,177.76,176.21,38.29,3.16,1.29,1.63,1.26,1.29,1.62,1.28,0.99,,1,1.26,1.63,1.62,0.35,0.03,0.01,0,28.63,40.03,-1.55,-137.92,-35.13,-1.87
Lac Dasserat,25.01427756,38.62784028,1.777647059,,1.61,1.777647059,10.p18r27d295y2014,,55.06,15.49,2.53,0.71,0.00542,0.007,0.118,0.158,0.21,0.28,0.0021,4.55,6.11,0.01,0.013,0.4,1.43,25.01,38.63,1.78,68.67,21.73,97.87,131.62,167.83,172.56,27.54,0.14,-1.17,1.71,1.34,1.28,1.76,1.31,1.03,,1,1.34,1.71,1.76,0.28,0,NA,0,33.75,36.21,4.73,-145.02,-27.4,-1.31
Lac Dasserat,25.01427756,38.62784028,1.777647059,,1.61,1.777647059,12.p19r26d283y2013,,85.56,52.78,3.94,2.43,0.01392,0.016,0.303,0.347,0.54,0.62,0.0035,11.69,13.4,0.025,0.028,1.37,2.21,25.01,38.63,1.78,68.67,21.73,152.09,174.43,234.81,231.7,93.82,51.01,37.71,1.54,1.15,1.35,1.52,1.33,0.99,,1,1.15,1.54,1.52,0.62,0.34,0.25,0,22.35,60.37,-3.1,-137.89,-42.81,-13.3
Lac Dasserat,60.09835602,25.08994039,2.538348,,1.61,2.538348,2.p19r26d267y2013,,67.11,61.94,6.79,6.27,0.03296,0.037,0.326,0.364,0.83,0.92,0.0049,8.17,9.12,0.084,0.093,2.47,2.67,60.1,25.09,2.54,63.69,9.88,170.34,190.15,253.83,253.73,157.23,76.06,57.08,1.49,1.12,1.33,1.49,1.33,1,,1,1.12,1.49,1.49,0.92,0.45,0.34,0,19.81,63.69,-0.1,-96.5,-81.17,-18.98
Lac Dasserat,53.63073301,23.02557413,1.693391,,1.61,1.693391,4.p18r26d295y2014,,59.61,11.5,4.38,0.85,0.00649,0.008,0.088,0.114,0.15,0.19,0.0015,2.03,2.62,0.011,0.014,0.5,2.59,53.63,23.03,1.69,38.99,13.6,100.95,130.35,165.2,169.34,19.47,-2.01,-1.9,1.64,1.29,1.27,1.68,1.3,1.03,,1,1.29,1.64,1.68,0.19,NA,NA,0,29.4,34.85,4.14,-149.87,-21.48,0.11
Lac Dasserat,25.01427756,38.62784028,1.777647059,,1.61,1.777647059,5.p19r26d270y2014,,95.08,39.1,4.38,1.8,0.01012,0.011,0.22,0.231,0.39,0.41,0.0023,8.49,8.94,0.018,0.019,1.01,2.46,25.01,38.63,1.78,68.67,21.73,169.03,177.84,203.1,178.45,69.51,11.94,2.75,1.2,1.05,1.14,1.06,1,0.88,,1,1.05,1.2,1.06,0.41,0.07,0.02,0,8.82,25.26,-24.65,-108.94,-57.57,-9.19
Lac Dasserat,25.01427756,38.62784028,1.777647059,,1.61,1.777647059,9.p18r27d260y2013,,59.26,23.96,2.73,1.1,0.0081,0.01,0.176,0.227,0.31,0.4,0.003,6.8,8.79,0.014,0.019,0.62,1.53,25.01,38.63,1.78,68.67,21.73,105.35,136.05,177.96,176.53,42.59,4.5,1.78,1.69,1.29,1.31,1.68,1.3,0.99,,1,1.29,1.69,1.68,0.4,0.04,0.02,0,30.7,41.9,-1.43,-133.94,-38.09,-2.72
Lac Sault,161.9025522,20.64176245,0.818823529,,1.73,0.818823529,1.p18r26d260y2013,,93.75,97.8,3.72,3.88,0.04738,0.051,1.195,1.274,0.98,1.04,0.0127,24.66,26.3,0.039,0.041,4.74,4.54,161.9,20.64,0.82,16.9,25.21,76.77,81.87,64.99,40.6,80.08,34.84,18.5,0.85,1.07,0.79,0.53,0.5,0.62,,1,1.07,0.85,0.53,1.04,0.45,0.24,0,5.11,-16.88,-24.39,39.48,-45.24,-16.34
